"","name","year","rating","synopsis","cast"
"1","The Lord of the Rings: The Return of the King","(2003)","9.0","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.",""
"2","The Lord of the Rings: The Fellowship of the Ring","(2001)","8.8","
A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.",""
"3","Inception","(2010)","8.8","
A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",""
"4","The Lord of the Rings: The Two Towers","(2002)","8.8","
While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",""
"5","Il buono, il brutto, il cattivo","(1966)","8.8","
A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.",""
"6","777 Charlie","(2022)","8.8","
Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.",""
"7","The Empire Strikes Back","(1980)","8.7","
After the Rebels are overpowered by the Empire, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",""
"8","Ulduzlararasi","(2014)","8.6","
A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.",""
"9","Star Wars","(1977)","8.6","
Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",""
"10","Ruhlarin Qaçisi","(2001)","8.6","
During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.",""
"11","Gladiator","(2000)","8.5","
A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.",""
"12","Back to the Future","(1985)","8.5","
Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",""
"13","The Lion King","(1994)","8.5","
Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",""
"14","Kaithi","(2019)","8.5","
Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy.",""
"15","Raiders of the Lost Ark","(1981)","8.4","
In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.",""
"16","Avengers: Endgame","(2019)","8.4","
After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",""
"17","Avengers: Infinity War","(2018)","8.4","
The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.",""
"18","Spider-Man: Into the Spider-Verse","(2018)","8.4","
Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",""
"19","Aliens","(1986)","8.4","
Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",""
"20","Məni xatırla","(I) (2017)","8.4","
Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",""
"21","WALL·E","(2008)","8.4","
In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",""
"22","Serefsiz Alçaqlar","(2009)","8.3","
In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",""
"23","2001: A Space Odyssey","(1968)","8.3","
After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000.",""
"24","Toy Story","(1995)","8.3","
A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.",""
"25","Star Wars: Episode VI - Return of the Jedi","(1983)","8.3","
After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.",""
"26","Lawrence of Arabia","(1962)","8.3","
The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",""
"27","Up","(2009)","8.3","
78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",""
"28","Kantara","(2022)","8.3","
It involves culture of Kambala and Bhootha Kola. A human and nature conflict where Shiva is a rebel who defends his village and nature. A death leads to war between villagers and evil forces. Will he be able to regain peace in the village?",""
"29","Mononoke-hime","(1997)","8.3","
On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",""
"30","Toy Story 3","(2010)","8.3","
The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",""
"31","North by Northwest","(1959)","8.3","
A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",""
"32","Spider-Man: No Way Home","(2021)","8.2","
With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",""
"33","Jurassic Park","(1993)","8.2","
A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.",""
"34","Indiana Jones and the Last Crusade","(1989)","8.2","
In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",""
"35","Hauru no ugoku shiro","(2004)","8.2","
When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",""
"36","Finding Nemo","(2003)","8.2","
After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",""
"37","Monty Python and the Holy Grail","(1975)","8.2","
King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",""
"38","Kimetsu no Yaiba: Mugen Ressha-Hen","(2020)","8.2","
After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.",""
"39","The Great Escape","(1963)","8.2","
Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.",""
"40","The Bridge on the River Kwai","(1957)","8.2","
British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",""
"41","Klaus","(2019)","8.2","
A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",""
"42","The Treasure of the Sierra Madre","(1948)","8.2","
Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.",""
"43","Dersu Uzala","(1975)","8.2","
The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.",""
"44","Le salaire de la peur","(1953)","8.2","
In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",""
"45","Stand by Me","(1986)","8.1","
After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",""
"46","Pirates of the Caribbean: The Curse of the Black Pearl","(2003)","8.1","
Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",""
"47","Mad Max: Fury Road","(2015)","8.1","
In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max.",""
"48","Böyük Budapesht Oteli","(2014)","8.1","
A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",""
"49","Harry Potter and the Deathly Hallows: Part 2","(2011)","8.1","
Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",""
"50","Ratatouille","(2007)","8.1","
A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.",""
"51","Jaws","(1975)","8.1","
When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",""
"52","Ben-Hur","(1959)","8.1","
After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.",""
"53","The Wizard of Oz","(1939)","8.1","
Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",""
"54","Into the Wild","(2007)","8.1","
After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",""
"55","Tərsinə","(I) (2015)","8.1","
After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",""
"56","How to Train Your Dragon","(2010)","8.1","
A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",""
"57","Monsters, Inc.","(2001)","8.1","
In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",""
"58","Barry Lyndon","(1975)","8.1","
An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.",""
"59","The Iron Giant","(1999)","8.1","
A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.",""
"60","The General","(1926)","8.1","
After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.",""
"61","Kakushi-toride no san-akunin","(1958)","8.1","
Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",""
"62","The Gold Rush","(1925)","8.1","
A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",""
"63","Queen","(2013)","8.1","
A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.",""
"64","Bajrangi Bhaijaan","(2015)","8.1","
An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.",""
"65","Sholay","(1975)","8.1","
After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",""
"66","Dune: Part One","(2021)","8.0","
A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.",""
"67","Zack Snyder's Justice League","(2021)","8.0","
Determined to ensure that Superman's ultimate sacrifice wasn't in vain, Bruce Wayne recruits a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",""
"68","The Princess Bride","(1987)","8.0","
A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",""
"69","Qalaktikanin Mühafizeçileri","(2014)","8.0","
A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.",""
"70","Zootopia","(2016)","8.0","
In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",""
"71","The Revenant","(2015)","8.0","
A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.",""
"72","The Martian","(2015)","8.0","
An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.",""
"73","Casino Royale","(2006)","8.0","
After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",""
"74","The Incredibles","(2004)","8.0","
While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",""
"75","Dances with Wolves","(1990)","8.0","
Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Native Americans, making him an intolerable aberration in the military.",""
"76","Aladdin","(1992)","8.0","
A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.",""
"77","Soul","(2020)","8.0","
After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.",""
"78","Big Fish","(2003)","8.0","
A frustrated son tries to determine the fact from fiction in his dying father's life.",""
"79","Planet of the Apes","(1968)","8.0","
An astronaut crew crash-lands on a planet where highly intelligent non-human ape species are dominant and humans are enslaved.",""
"80","Blood Diamond","(2006)","8.0","
A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",""
"81","WolfWalkers","(2020)","8.0","
A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.",""
"82","Tenkû no shiro Rapyuta","(1986)","8.0","
A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.",""
"83","Kaze no tani no Naushika","(1984)","8.0","
Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.",""
"84","Song of the Sea","(2014)","8.0","
Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.",""
"85","Fitzcarraldo","(1982)","8.0","
The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.",""
"86","G.O.R.A.","(2004)","8.0","
A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.",""
"87","Karthikeya 2","(2022)","8.0","
A sequel to mystic thriller Karthikeya (2014), which deals with the personal problems of Karthik and how he comes out of them. His pursuit of the truth leads him to find out the power of Indian ancient system and Tatva of Lord Sri Krishna.",""
"88","Everything Everywhere All at Once","(2022)","7.9","
A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.",""
"89","Puss in Boots: The Last Wish","(2022)","7.9","
When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.",""
"90","RRR (Rise Roar Revolt)","(2022)","7.9","
A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.",""
"91","Wo hu cang long","(2000)","7.9","
A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.",""
"92","Avatar","(2009)","7.9","
A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.",""
"93","Spartacus","(1960)","7.9","
The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising.",""
"94","Harry Potter and the Prisoner of Azkaban","(2004)","7.9","
Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",""
"95","Edge of Tomorrow","(2014)","7.9","
A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.",""
"96","Iron Man","(2008)","7.9","
After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",""
"97","Almost Famous","(2000)","7.9","
A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.",""
"98","E.T. the Extra-Terrestrial","(1982)","7.9","
A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.",""
"99","Shrek","(2001)","7.9","
A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",""
"100","Star Trek","(2009)","7.9","
The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.",""
